   table_name    |     column_name      |        data_type         | is_nullable |            column_default             
 targets         | services             | jsonb                    | YES         | '[]'::jsonb
 targets         | metadata             | jsonb                    | YES         | '{}'::jsonb
 users           | id                   | uuid                     | NO          | uuid_generate_v4()
 users           | email                | character varying        | NO          | 
 users           | password_hash        | character varying        | NO          | 
 users           | full_name            | character varying        | YES         | 
 users           | role                 | character varying        | NO          | 'operator'::character varying
 users           | is_active            | boolean                  | YES         | true
 users           | created_at           | timestamp with time zone | YES         | now()
 users           | updated_at           | timestamp with time zone | YES         | now()
 users           | last_login           | timestamp with time zone | YES         | 
 vulnerabilities | id                   | uuid                     | NO          | 
 vulnerabilities | mission_id           | uuid                     | YES         | 
 vulnerabilities | target_id            | uuid                     | YES         | 
 vulnerabilities | type                 | character varying        | NO          | 
 vulnerabilities | severity             | character varying        | NO          | 
 vulnerabilities | cvss                 | numeric                  | YES         | 
 vulnerabilities | description          | text                     | YES         | 
 vulnerabilities | status               | character varying        | YES         | 
 vulnerabilities | discovered_at        | timestamp with time zone | YES         | 
 vulnerabilities | discovered_by        | character varying        | YES         | 
 vulnerabilities | exploit_available    | boolean                  | YES         | false
 vulnerabilities | rx_modules           | jsonb                    | YES         | '[]'::jsonb
 vulnerabilities | metadata             | jsonb                    | YES         | '{}'::jsonb
(153 rows)

